5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 38.1211, Penetration Depth,29.8327, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -50.834, Penetration Depth,25.3016, Penetration unsuccesful,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 23.3644, Penetration Depth,33.4938, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -22.2242, Penetration Depth,33.7046, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -21.5678, Penetration Depth,33.8212, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 22.5929, Penetration Depth,33.6376, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -27.9316, Penetration Depth,32.5454, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 15.4597, Penetration Depth,34.7399, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -12.2532, Penetration Depth,35.1016, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 29.1276, Penetration Depth,32.2696, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -39.4898, Penetration Depth,29.4059, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 27.8208, Penetration Depth,32.5704, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -37.0485, Penetration Depth,30.1568, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 6.68813, Penetration Depth,35.5311, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -8.87006, Penetration Depth,35.3927, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 7.95275, Penetration Depth,35.4556, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -6.12295, Penetration Depth,35.5606, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 45.4612, Penetration Depth,27.3718, Penetration unsuccesful,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 39.6615, Penetration Depth,29.3513, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 5.88502, Penetration Depth,35.5722, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 43.5912, Penetration Depth,28.0389, Penetration unsuccesful,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -43.7259, Penetration Depth,27.9918, Penetration unsuccesful,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 32.0497, Penetration Depth,31.5479, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -4.56959, Penetration Depth,35.6283, Penetrated succesfully,
